"Date","AL","AK","AZ","AR","AS","CA","CO","CT","DE","DC","FL","GA","GU","HI","ID","IL","IN","IA","KS","KY","LA","ME","MD","MA","MI","MN","MS","MO","MT","NE","NV","NH","NJ","NM","NY","NC","ND","CM","OH","OK","OR","PA","PR","RI","SC","SD","TN","TX","UT","VT","VA","VI","WA","WV","WI","WY"
"16562","2","3","3","2","2","-1","-1","-1","-1","-1","2","3","2","0","2","0","2","2","2","2","2","0","0","-1","-1","0","2","3","0","3","0","0","-1","0","-1","2","2","2","3","2","-1","0","0","-1","2","2","3","3","2","-1","0","2","-1","3","0","3"
"16563","2","2","2","2","2","2","1","1","0","2","2","2","2","-1","2","3","2","1","2","2","2","0","0","1","-1","-1","2","2","0","2","-1","-1","-1","0","1","2","2","2","3","2","2","-1","0","-1","2","2","2","3","2","2","0","2","1","2","-1","2"
"16564","2","2","2","2","2","2","1","1","0","2","2","2","2","-1","2","3","2","1","2","2","2","0","0","1","-1","-1","2","2","0","2","-1","-1","-1","0","1","2","2","2","3","2","2","-1","0","-1","2","2","2","3","2","2","0","2","1","2","-1","2"
"16565","2","2","2","2","2","2","1","1","0","2","2","2","2","-1","2","3","2","1","2","2","2","0","0","1","-1","-1","2","2","0","2","-1","-1","-1","0","1","2","2","2","3","2","2","-1","0","-1","2","2","2","3","2","2","0","2","1","2","-1","2"
"16566","2","2","2","2","2","2","1","1","0","2","2","2","2","-1","2","3","2","1","2","2","2","0","0","1","-1","-1","2","2","0","2","-1","-1","-1","0","1","2","2","2","3","2","2","-1","0","-1","2","2","2","3","2","2","0","2","1","2","-1","2"
"16567","2","2","2","2","2","2","1","1","0","2","2","2","2","-1","2","3","2","1","2","2","2","0","0","1","-1","-1","2","2","0","2","-1","-1","-1","0","1","2","2","2","3","2","2","-1","0","-1","2","2","2","3","2","2","0","2","1","2","-1","2"
"16568","2","2","2","2","2","2","1","1","0","2","2","2","2","-1","2","3","2","1","2","2","2","0","0","1","-1","-1","2","2","0","2","-1","-1","-1","0","1","2","2","2","3","2","2","-1","0","-1","2","2","2","3","2","2","0","2","1","2","-1","2"
"16569","2","2","2","2","2","2","1","1","0","2","2","2","2","-1","2","3","2","1","2","2","2","0","0","1","-1","-1","2","2","0","2","-1","-1","-1","0","1","2","2","2","3","2","2","-1","0","-1","2","2","2","3","2","2","0","2","1","2","-1","2"
"16570","2","2","2","2","2","2","1","1","0","2","2","2","2","-1","2","3","2","1","2","2","2","0","0","1","-1","-1","2","2","0","2","-1","-1","-1","0","1","2","2","2","3","2","2","-1","0","-1","2","2","2","3","2","2","0","2","1","2","-1","2"
"16571","2","2","2","2","2","2","1","1","0","2","2","2","2","-1","2","3","2","1","2","2","2","0","0","1","-1","-1","2","2","0","2","-1","-1","-1","0","1","2","2","2","3","2","2","-1","0","-1","2","2","2","3","2","2","0","2","1","2","-1","2"
"16572","2","2","2","2","2","2","1","1","0","2","2","2","2","-1","2","3","2","1","2","2","2","0","0","1","-1","-1","2","2","0","2","-1","-1","-1","0","1","2","2","2","3","2","2","-1","0","-1","2","2","2","3","2","2","0","2","1","2","-1","2"
"16573","2","2","2","2","2","2","1","1","0","2","2","2","2","-1","2","3","2","1","2","2","2","0","0","1","-1","-1","2","2","0","2","-1","-1","-1","0","1","2","2","2","3","2","2","-1","0","-1","2","2","2","3","2","2","0","2","1","2","-1","2"
"16574","2","2","2","2","2","2","1","1","0","2","2","2","2","-1","2","3","2","1","2","2","2","0","0","1","-1","-1","2","2","0","2","-1","-1","-1","0","1","2","2","2","3","2","2","-1","0","-1","2","2","2","3","2","2","0","2","1","2","-1","2"
"16575","2","2","2","2","2","2","1","1","0","2","2","2","2","-1","2","3","2","1","2","2","2","0","0","1","-1","-1","2","2","0","2","-1","-1","-1","0","1","2","2","2","3","2","2","-1","0","-1","2","2","2","3","2","2","0","2","1","2","-1","2"
"16576","2","2","2","2","2","2","1","1","0","2","2","2","2","-1","2","3","2","1","2","2","2","0","0","1","-1","-1","2","2","0","2","-1","-1","-1","0","1","2","2","2","3","2","2","-1","0","-1","2","2","2","3","2","2","0","2","1","2","-1","2"
